Date,Open,High,Low,Close,Adj Close,Volume
2014-12-28,389.599518,394.365997,383.337036,391.121948,391.121948,14396005
2014-12-29,391.691528,394.757782,384.046997,384.493378,384.493378,15128505
2014-12-30,384.553619,387.457214,378.901398,379.827637,379.827637,15313898
2014-12-31,380.044006,392.009064,379.788208,392.009064,392.009064,17070152
2015-01-01,392.305328,392.305328,384.054535,384.308411,384.308411,9828238
2015-01-02,384.100525,389.539948,384.223755,389.553619,389.553619,9720106
2015-01-03,389.323608,389.699524,347.572662,347.572662,347.572662,40873501
2015-01-04,347.651794,355.174988,318.550751,327.541534,327.541534,68967394
2015-01-05,328.643707,344.737427,328.114899,339.024200,339.024200,54301877
2015-01-06,339.193420,356.102783,335.501984,354.369720,354.369720,28783680
2015-01-07,354.231049,370.892609,351.345428,364.594330,364.594330,30802428
2015-01-08,364.344116,363.758362,348.106323,349.382233,349.382233,24639334
2015-01-09,348.191132,355.233704,344.635132,354.112915,354.112915,22824777
2015-01-10,350.326813,351.331573,334.064148,335.076202,335.076202,18612730
2015-01-11,334.846985,340.980377,322.981964,323.187347,323.187347,22142092
2015-01-12,323.778595,334.073395,324.840790,328.705048,328.705048,23174543
2015-01-13,328.211639,330.105835,269.129852,276.451630,276.451630,89160225
2015-01-14,274.044067,274.077606,210.286896,218.826630,218.826630,119964005
2015-01-15,217.344894,277.522400,217.398315,255.253616,255.253616,99469048
2015-01-16,254.312134,269.673859,243.000854,253.036240,253.036240,46718142
2015-01-17,252.716446,257.455017,236.958908,242.290848,242.290848,28538059
2015-01-18,243.251465,265.922913,236.510208,255.793518,255.793518,36586526
2015-01-19,257.170135,263.980499,252.180984,262.313507,262.313507,22779026
2015-01-20,259.927979,263.356171,250.339233,258.901001,258.901001,29467165
2015-01-21,258.978210,281.636993,257.074005,280.085175,280.085175,36939390
2015-01-22,280.609802,293.050201,280.378906,291.247833,291.247833,41857499
2015-01-23,291.386322,296.558899,280.583099,294.634369,294.634369,31150936
2015-01-24,294.407898,314.030884,291.019745,313.571594,313.571594,31354378
2015-01-25,312.945343,324.191681,308.565277,322.181580,322.181580,42644698
2015-01-26,322.639984,391.724487,321.618988,345.250580,345.250580,134823886
2015-01-27,344.864288,347.740479,315.524933,332.712463,332.712463,56066423
2015-01-28,332.555908,333.794617,287.436401,296.470215,296.470215,56213181
2015-01-29,295.751587,302.312561,283.327362,300.183838,300.183838,41410721
2015-01-30,299.231262,311.907257,290.804810,291.559357,291.559357,34258563
2015-01-31,291.579956,300.674744,278.533356,280.020599,280.020599,30064641
2015-02-01,279.251862,298.843719,273.109619,291.812805,291.812805,37449859
2015-02-02,291.194397,310.560394,285.863403,305.578522,305.578522,39266419
2015-02-03,304.584381,320.465149,288.020264,292.833405,292.833405,52549543
2015-02-04,293.146515,295.780396,282.789368,292.524811,292.524811,34293101
2015-02-05,293.571869,307.008209,275.500397,278.490234,278.490234,28881991
2015-02-06,278.249115,294.920654,276.017365,285.248993,285.248993,31359471
2015-02-07,285.719971,295.558258,285.686584,292.292084,292.292084,27726129
2015-02-08,292.213806,294.453278,283.723053,287.864960,287.864960,22091483
2015-02-09,287.835327,287.371063,277.944397,282.373322,282.373322,35652726
2015-02-10,282.593964,285.760132,275.219849,282.569427,282.569427,27140231
2015-02-11,282.431885,286.822449,282.919037,283.918396,283.918396,22282254
2015-02-12,283.948181,287.041718,284.017212,286.073273,286.073273,19615841
2015-02-13,286.337708,309.412750,285.757446,302.838959,302.838959,54983792
2015-02-14,302.968872,334.201202,302.968872,331.002075,331.002075,63972858
2015-02-15,331.241302,341.665802,292.916504,302.492584,302.492584,72848641
2015-02-16,302.492584,308.105225,294.448456,301.577240,301.577240,36308615
2015-02-17,301.034302,314.209900,299.335144,312.000519,312.000519,35044954
2015-02-18,312.218231,312.381378,296.806335,302.787964,302.787964,32288020
2015-02-19,302.895569,311.797516,300.615021,308.371399,308.371399,23447767
2015-02-20,308.330353,315.703339,306.636322,310.863312,310.863312,30447207
2015-02-21,310.828857,325.580231,310.104584,311.826050,311.826050,15664626
2015-02-22,311.838837,314.195343,298.279327,300.914307,300.914307,24900536
2015-02-23,300.937256,307.950470,298.319855,306.468262,306.468262,21039128
2015-02-24,306.604248,308.673431,304.014923,304.858887,304.858887,18133572
2015-02-25,305.056824,304.891724,299.085724,301.357880,301.357880,14589086
2015-02-26,301.189087,302.391571,298.454590,303.071381,303.071381,17458531
2015-02-27,303.084229,329.380157,303.084229,325.170380,325.170380,56384704
2015-02-28,324.775818,326.277222,319.599030,325.727661,325.727661,17869972
2015-03-01,325.753265,336.323914,315.056366,334.320953,334.320953,32395863
2015-03-02,334.520111,356.379456,331.553070,355.565613,355.565613,52193602
2015-03-03,354.760712,365.608276,343.224121,360.463196,360.463196,64569802
2015-03-04,360.831726,363.971069,342.784454,349.177856,349.177856,52912671
2015-03-05,348.726532,362.132935,340.933563,354.938965,354.938965,53081095
2015-03-06,354.196136,356.318817,344.890808,353.680450,353.680450,37503437
2015-03-07,353.124115,360.334595,350.321625,358.268677,358.268677,23117494
2015-03-08,358.491791,360.339783,353.475555,355.472931,355.472931,28592770
2015-03-09,356.066345,379.835175,355.797607,376.945190,376.945190,77024860
2015-03-10,377.277100,391.651215,377.367828,381.984833,381.984833,88728463
2015-03-11,381.677124,392.284637,382.448639,389.921051,389.921051,44683463
2015-03-12,389.589539,386.782990,381.391663,382.079437,382.079437,42296469
2015-03-13,381.773132,382.663696,373.673401,373.673401,373.673401,41149162
2015-03-14,372.501282,374.989532,367.962311,369.152710,369.152710,29612755
2015-03-15,368.550262,375.874329,367.988464,376.189423,376.189423,15723237
2015-03-16,375.259430,384.309418,374.914703,380.257782,380.257782,28155064
2015-03-17,380.260406,381.827087,373.243195,374.826050,374.826050,28222660
2015-03-18,374.251007,374.653351,322.787750,329.517883,329.517883,73293906
2015-03-19,328.979187,346.822388,320.036041,340.859589,340.859589,68885696
2015-03-20,340.896149,345.123779,337.538391,337.044800,337.044800,23766031
2015-03-21,336.909607,337.620422,329.191345,334.824860,334.824860,22057816
2015-03-22,334.685791,346.896881,334.264740,344.377319,344.377319,23696312
2015-03-23,344.293793,354.146881,331.868896,338.932648,338.932648,28985896
2015-03-24,338.725525,339.482513,310.077484,312.501587,312.501587,50990839
2015-03-25,314.889923,315.710114,300.986267,314.548370,314.548370,45824582
2015-03-26,314.649292,325.635651,312.697906,317.409973,317.409973,32860792
2015-03-27,317.453369,329.498352,314.295044,318.994080,318.994080,22307464
2015-03-28,318.924347,328.260590,318.924347,326.443695,326.443695,20713972
2015-03-29,326.368805,326.884064,311.376862,313.866547,313.866547,28060778
2015-03-30,314.081207,326.190308,309.862701,323.394318,323.394318,30062190
2015-03-31,323.300232,325.690704,319.393433,320.798645,320.798645,29780638
2015-04-01,320.797333,325.668976,317.524689,325.272308,325.272308,30093660
2015-04-02,325.031586,336.010834,323.298645,333.867767,333.867767,34669570
2015-04-03,333.958832,336.898682,331.550598,333.362183,333.362183,30340281
2015-04-04,333.321533,334.589050,329.138824,332.542938,332.542938,16376327
2015-04-05,332.626831,341.197632,330.242493,341.230835,341.230835,25728951
2015-04-06,341.391907,343.792511,333.956451,336.794098,336.794098,26409438
2015-04-07,336.506714,337.562683,331.892365,331.474213,331.474213,24178319
2015-04-08,331.322327,329.073120,317.698700,319.039063,319.039063,39175000
2015-04-09,318.686218,321.093262,311.272919,316.462341,316.462341,28108442
2015-04-10,316.485718,316.567932,303.403290,307.545593,307.545593,37626368
2015-04-11,307.472656,312.059662,305.074249,308.170929,308.170929,21319958
2015-04-12,308.148773,309.702972,304.188385,308.213257,308.213257,16167972
2015-04-13,307.948303,312.331909,292.716248,296.093628,296.093628,41109822
2015-04-14,296.320374,295.670898,283.627899,287.874695,287.874695,41664259
2015-04-15,287.761719,291.753113,287.506897,291.753113,291.753113,29408238
2015-04-16,291.862640,294.942841,291.406830,293.644653,293.644653,31867163
2015-04-17,293.647217,293.619812,286.118347,286.849426,286.849426,26293179
2015-04-18,286.812103,288.694977,284.267700,287.459473,287.459473,16652510
2015-04-19,287.588165,291.316589,284.146423,285.238342,285.238342,19248462
2015-04-20,285.253723,291.614258,284.148743,291.041718,291.041718,23794636
2015-04-21,291.033936,305.147858,289.495361,305.147858,305.147858,32396887
2015-04-22,305.579773,306.307465,301.609619,302.396698,302.396698,30795325
2015-04-23,302.237854,304.187042,300.746704,304.170319,304.170319,21914073
2015-04-24,303.537445,304.007446,293.731476,296.041992,296.041992,27456093
2015-04-25,295.999756,297.697144,289.729919,289.797760,289.797760,17866359
2015-04-26,289.823364,290.506927,275.056305,280.314240,280.314240,36974578
2015-04-27,280.312988,297.203827,279.373383,291.564087,291.564087,49051373
2015-04-28,291.160980,291.904083,279.780518,282.565979,282.565979,26860003
2015-04-29,282.235718,284.119629,279.777100,282.542542,282.542542,23694319
2015-04-30,282.398651,302.975861,281.769562,299.107025,299.107025,42835465
2015-05-01,298.846100,303.873352,295.642029,295.642029,295.642029,23968535
2015-05-02,295.975800,300.289185,295.975800,299.273865,299.273865,15968790
2015-05-03,299.210205,309.859894,298.194885,307.088287,307.088287,23628593
2015-05-04,307.085724,309.487244,303.406464,305.064453,305.064453,27087939
2015-05-05,304.852600,305.068237,294.634338,297.869324,297.869324,30186830
2015-05-06,298.030762,297.913574,287.617310,288.997620,288.997620,37211923
2015-05-07,288.846680,302.779541,287.296387,300.498871,300.498871,36799696
2015-05-08,300.334259,311.543304,298.967468,307.442017,307.442017,34600983
2015-05-09,307.323486,312.410492,302.116760,304.881500,304.881500,24950202
2015-05-10,304.751648,307.700439,301.120789,303.289154,303.289154,18956330
2015-05-11,303.292938,308.928802,303.584015,306.723236,306.723236,26462698
2015-05-12,306.706787,307.483215,303.615326,301.804993,301.804993,24136438
2015-05-13,302.162964,301.278259,289.821198,291.535522,291.535522,33522570
2015-05-14,291.334503,294.087311,289.710358,293.120117,293.120117,30203761
2015-05-15,293.152283,296.956482,294.924652,295.933472,295.933472,20338025
2015-05-16,295.982056,296.048096,293.056427,294.125061,294.125061,13812056
2015-05-17,293.946930,296.456573,293.946930,294.529846,294.529846,13848632
2015-05-18,294.635559,295.846863,291.047974,291.701721,291.701721,20996371
2015-05-19,291.587830,293.532654,293.031219,292.825409,292.825409,17979927
2015-05-20,292.753448,297.896667,293.768372,297.165710,297.165710,19681778
2015-05-21,297.163177,299.609375,295.956207,298.130219,298.130219,19139726
2015-05-22,298.101074,308.499542,298.261627,307.114746,307.114746,34504217
2015-05-23,307.035522,307.979797,304.997437,305.228729,305.228729,18662152
2015-05-24,305.361603,309.197540,305.150787,308.518585,308.518585,14734955
2015-05-25,308.485291,307.817352,302.488800,303.170959,303.170959,18442527
2015-05-26,303.163269,305.438477,302.946014,306.272278,306.272278,21215448
2015-05-27,306.206421,308.195801,306.758698,306.884369,306.884369,24362390
2015-05-28,306.850769,311.084381,308.582611,310.175079,310.175079,18068461
2015-05-29,310.134583,310.445709,307.823181,310.497620,310.497620,19388423
2015-05-30,310.492401,310.493713,303.884247,305.585388,305.585388,18463332
2015-05-31,305.310364,305.463593,300.605042,301.295807,301.295807,19281152
2015-06-01,301.352081,302.615906,290.987518,292.861267,292.861267,34275486
2015-06-02,292.819214,292.338287,289.910065,291.095764,291.095764,26374887
